accession	quota_group
AC_000010.1	I
AC_000020.1	I
AC_000190.1	I
NC_000874.1	IV
NC_000898.1	I
NC_000935.1	I
NC_001266.1	I
NC_001338.1	I
NC_001344.1	VII
NC_001350.1	I
NC_001362.1	VI
NC_001402.1	VI
NC_001414.1	VI
NC_001436.1	VI
NC_001442.1	I
NC_001452.1	VI
NC_001482.1	VI
NC_001484.1	VII
NC_001486.1	VII
NC_001494.1	VI
NC_001495.1	IV
NC_001498.1	V
NC_001502.1	VI
NC_001503.1	VI
NC_001506.1	VI
NC_001514.1	VI
NC_001549.1	VI
NC_001552.1	V
NC_001574.1	VII
NC_001576.1	I
NC_001586.1	I
NC_001634.1	VII
NC_001648.1	VII
NC_001654.1	VI
NC_001702.1	VI
NC_001720.1	I
NC_001724.1	VI
NC_001725.1	VII
NC_001726.1	IV
NC_001739.2	VII
NC_001802.1	VI
NC_001814.1	IV
NC_001822.1	IV
NC_001839.2	VII
NC_001859.1	IV
NC_001867.1	VI
NC_001885.3	VI
NC_001896.1	VII
NC_001897.1	IV
NC_001902.1	I
NC_001914.1	VII
NC_001940.1	VI
NC_001973.1	I
NC_001981.1	IV
NC_002024.2	IV
NC_002027.1	IV
NC_002048.1	II
NC_002188.1	I
NC_002195.1	II
NC_002211.1	V
NC_002232.1	I
NC_002323.1	?
NC_002361.1	II
NC_002628.3	I
NC_002656.1	I
NC_002800.1	III
NC_003027.1	I
NC_003059.1	VI
NC_003092.2	IV
NC_003094.2	I
NC_003158.2	I
NC_003220.1	?
NC_003311.2	II
NC_003345.2	I
NC_003375.1	IV
NC_003382.1	VII
NC_003387.1	I
NC_003463.1	?
NC_003467.2	V
NC_003474.1	II
NC_003524.1	?
NC_003570.1	IV
NC_003612.1	?
NC_003620.1	?
NC_003622.1	IV
NC_003624.1	?
NC_003653.1	III
NC_003658.1	III
NC_003665.1	II
NC_003733.1	III
NC_003755.1	?
NC_003783.1	IV
NC_003815.1	II
NC_003841.1	?
NC_003847.1	IV
NC_003878.1	IV
NC_003971.1	?
NC_003977.2	VII
