accession	baltimore
NC_000858.1	VI
NC_000939.2	IV
NC_001278.1	IV
NC_001341.1	II
NC_001343.1	VII
NC_001344.1	VII
NC_001355.1	I
NC_001362.1	VI
NC_001364.1	VI
NC_001402.1	VI
NC_001403.1	VI
NC_001407.1	VI
NC_001408.1	VI
NC_001413.1	VI
NC_001414.1	VI
NC_001420.2	II
NC_001436.1	VI
NC_001452.1	VI
NC_001458.1	I
NC_001463.1	VI
NC_001482.1	VI
NC_001484.1	VII
NC_001486.1	VII
NC_001488.1	VI
NC_001494.1	VI
NC_001497.2	VII
NC_001498.1	V
NC_001499.1	VI
NC_001500.1	VI
NC_001501.1	VI
NC_001502.1	VI
NC_001503.1	VI
NC_001506.1	VI
NC_001511.1	VI
NC_001514.1	VI
NC_001526.4	I
NC_001549.1	VI
NC_001550.1	VI
NC_001552.1	V
NC_001574.1	VII
NC_001618.1	VI
NC_001634.1	VII
NC_001648.1	VII
NC_001650.2	I
NC_001654.1	VI
NC_001659.2	I
NC_001669.1	I
NC_001702.1	VI
NC_001722.1	VI
NC_001724.1	VI
NC_001725.1	VII
NC_001739.2	VII
NC_001749.2	IV
NC_001792.2	II
NC_001802.1	VI
NC_001815.1	VI
NC_001831.1	VI
NC_001839.2	VII
NC_001866.1	VI
NC_001867.1	VI
NC_001885.3	VI
NC_001896.1	VII
NC_001902.1	I
NC_001914.1	VII
NC_001917.1	II
NC_001935.1	II
NC_001940.1	VI
NC_002022.1	V
NC_002048.1	II
NC_002201.1	VI
NC_002211.1	V
NC_002232.1	I
NC_002561.1	III
NC_002700.2	IV
NC_002817.1	II
NC_003007.1	III
NC_003012.1	III
NC_003023.1	III
NC_003031.1	VII
NC_003059.1	VI
NC_003093.1	IV
NC_003138.2	VII
NC_003323.1	VI
NC_003378.1	VII
NC_003381.1	VII
NC_003382.1	VII
NC_003389.1	I
NC_003417.1	IV
NC_003438.1	II
NC_003467.2	V
NC_003471.1	III
NC_003498.1	VII
NC_003554.1	VII
NC_003627.1	IV
NC_003652.1	III
NC_003654.1	III
NC_003673.1	IV
NC_003676.1	IV
NC_003693.1	IV
NC_003702.1	III
NC_003729.1	III
NC_003736.1	III
NC_003751.1	III
NC_003770.1	III
NC_003788.1	IV
NC_003805.1	IV
NC_003807.1	IV
NC_003816.1	II
NC_003817.1	II
NC_003830.1	II
NC_003831.1	II
NC_003838.1	IV
NC_003842.1	IV
NC_003857.1	II
NC_003876.1	III
NC_003883.1	III
NC_003886.1	III
NC_003977.2	VII
NC_003983.1	IV
NC_004005.1	II
NC_004036.1	VII
NC_004052.1	IV
NC_004071.1	II
NC_004107.1	VII
NC_004176.1	III
NC_004186.1	III
NC_004201.1	III
NC_004202.1	III
NC_004212.1	III
NC_004215.1	III
NC_004324.3	VII
NC_004333.2	I
NC_004450.1	VII
NC_004455.1	VI
NC_004540.1	VII
NC_004558.1	II
NC_004581.1	II
NC_004583.1	II
NC_004628.1	II
NC_004642.1	II
NC_004686.2	I
NC_004725.1	IV
NC_004824.1	II
NC_004994.2	VI
NC_004995.1	IV
NC_005029.1	IV
NC_005167.1	III
NC_005235.1	V
NC_005238.1	V
NC_005283.1	V
NC_005285.1	IV
NC_005301.3	V
NC_005845.1	II
NC_005859.1	I
NC_005888.1	VII
NC_005890.1	VII
NC_005947.1	VI
NC_005950.1	VII
NC_006009.1	III
NC_006020.1	III
NC_006053.1	V
NC_006260.1	II
NC_006309.2	V
NC_006429.1	V
NC_006437.1	V
NC_006551.1	IV
NC_006631.1	II
NC_006934.1	VI
NC_006955.1	VII
NC_006960.1	III
NC_007002.1	VII
NC_007003.1	VII
NC_007013.1	II
NC_007015.1	VI
NC_007163.1	III
NC_007290.1	II
NC_007369.1	V
NC_007535.1	III
NC_007551.1	III
NC_007591.1	III
NC_007642.1	V
NC_007654.1	VI
NC_007659.1	III
NC_007667.1	III
NC_007724.1	II
NC_007815.2	VI
NC_007827.1	II
NC_008017.1	VII
NC_008018.1	VII
NC_008020.1	IV
NC_008034.1	VII
NC_008094.1	VI
NC_008152.1	I
NC_008176.1	III
NC_008180.1	III
NC_008284.1	II
NC_008494.1	II
NC_008514.1	V
NC_008714.1	IV
NC_009010.1	VII
NC_009424.5	VI
NC_009884.1	I
NC_009889.1	VI
NC_009945.1	III
NC_010178.1	IV
NC_010295.1	IV
NC_010416.1	IV
NC_010521.1	IV
NC_010706.1	III
NC_010736.1	IV
NC_010737.1	VII
NC_010738.1	VII
NC_010754.1	III
NC_010820.1	VI
NC_010834.1	II
NC_010836.1	II
NC_010955.1	VI
NC_011022.1	I
NC_011058.1	II
NC_011097.2	VII
NC_011502.2	III
NC_011509.2	III
NC_011510.2	III
NC_011546.1	VI
NC_011559.1	IV
NC_011592.1	VII
NC_011703.1	I
NC_011706.1	III
NC_011765.1	I
NC_011800.1	VI
NC_011920.1	VII
NC_012118.1	II
NC_012539.1	III
NC_012639.1	I
NC_012663.1	I
NC_012698.2	IV
NC_012703.1	V
NC_012728.1	VII
NC_012869.1	IV
NC_013028.1	II
NC_013029.1	II
NC_013076.1	IV
NC_013110.1	III
NC_013116.1	II
NC_013227.1	III
NC_013261.1	IV
NC_013262.1	VII
NC_013397.1	III
NC_013455.1	VII
NC_013463.1	III
NC_013698.1	I
NC_013999.1	III
NC_014070.1	II
NC_014071.1	II
NC_014074.1	II
NC_014185.1	I
NC_014245.1	III
NC_014467.1	I
NC_014474.1	VI
NC_014523.1	III
NC_014525.1	III
NC_014648.1	VII
NC_014665.1	II
NC_014716.1	III
NC_014956.1	I
NC_014967.1	IV
NC_015045.1	II
NC_015116.1	VI
NC_015124.1	II
NC_015228.1	VII
NC_015290.1	I
NC_015298.1	V
NC_015328.1	VII
NC_015495.1	III
NC_015502.1	VII
NC_015503.1	VII
NC_015504.1	VII
NC_015505.1	VII
NC_015506.1	VII
NC_015507.1	VII
NC_015629.1	IV
NC_015655.1	VII
NC_015784.2	VII
NC_015886.1	III
NC_015962.1	II
NC_016561.1	VII
NC_016577.1	II
NC_017685.1	V
NC_017702.1	I
NC_017830.1	VII
NC_017973.1	I
NC_018093.1	IV
NC_018105.1	VII
NC_018384.1	IV
NC_018505.1	VII
NC_018616.1	VII
NC_018858.1	VII
NC_018872.2	IV
NC_019423.1	I
NC_019493.1	IV
NC_019559.2	I
NC_020103.1	III
NC_020443.1	III
NC_020445.1	III
NC_020470.1	IV
NC_020881.1	VII
NC_020883.1	I
NC_020999.1	VII
NC_021098.1	III
NC_021334.1	I
NC_021335.1	I
NC_021547.1	III
NC_021551.1	III
NC_021568.1	II
NC_021706.1	IV
NC_021852.1	I
NC_021865.1	I
NC_022365.1	VII
NC_022517.1	VI
NC_022518.1	VI
NC_022556.1	III
NC_022561.1	III
NC_022597.1	V
NC_022617.1	III
NC_022623.1	III
NC_022641.1	III
NC_022802.1	IV
NC_022897.1	II
NC_022990.1	I
NC_023016.1	IV
NC_023020.1	II
NC_023034.1	II
NC_023153.1	VI
NC_023157.1	II
NC_023310.1	II
NC_023427.1	II
NC_023485.1	VII
NC_023489.1	III
NC_023551.1	I
NC_023565.1	I
NC_023578.1	I
NC_023588.1	I
NC_023714.1	I
NC_023725.1	I
NC_023731.1	I
NC_023821.1	III
NC_023844.1	II
NC_023845.1	I
NC_023868.1	II
NC_023886.1	II
NC_023893.1	IV
NC_024078.1	IV
NC_024111.1	IV
NC_024301.1	VII
NC_024443.1	VII
NC_024444.1	VII
NC_024445.1	VII
NC_024453.2	II
NC_024498.1	IV
NC_024503.1	III
NC_024696.1	I
NC_025115.1	I
NC_025340.1	V
NC_025373.1	V
NC_025376.1	V
NC_025382.1	V
NC_025418.1	I
NC_025432.1	IV
NC_025433.1	I
NC_025434.1	I
NC_025672.1	IV
NC_025682.1	II
NC_025716.1	II
NC_025734.1	II
NC_025802.1	III
NC_025831.1	V
NC_025832.1	V
NC_025843.1	III
NC_025898.1	I
NC_025959.1	II
NC_026020.2	VII
NC_026238.1	VII
NC_026272.1	II
NC_026431.1	V
NC_026434.1	V
NC_026472.1	VII
NC_026615.1	IV
NC_026626.1	II
NC_026628.1	II
NC_026631.1	II
NC_026662.1	II
NC_026801.1	V
NC_026809.1	II
NC_026810.1	II
NC_026819.1	VII
NC_026820.2	III
NC_027117.1	VI
NC_027131.1	VII
NC_027139.1	III
NC_027199.1	IV
NC_027399.1	I
NC_027540.1	III
NC_027543.1	III
NC_027551.1	III
NC_027564.1	III
NC_027637.1	II
NC_027703.1	IV
NC_027711.1	IV
NC_027779.1	I
NC_027804.1	III
NC_027922.1	VII
NC_027924.1	VII
NC_027984.1	I
NC_028046.1	II
NC_028123.1	I
NC_028129.1	VII
NC_028140.1	II
NC_028249.1	V
NC_028266.1	V
NC_028371.1	IV
NC_028402.1	IV
NC_028462.1	VII
NC_028484.1	V
NC_028486.1	III
NC_028763.1	I
NC_028810.1	I
NC_028825.1	I
NC_028856.1	I
NC_029017.1	I
NC_029063.1	IV
NC_029089.1	IV
NC_029105.1	II
NC_029123.1	V
NC_029124.1	V
NC_029125.1	III
NC_029303.1	VII
NC_029852.1	VI
NC_029853.1	VI
NC_029936.1	V
NC_030123.1	II
NC_030153.1	III
NC_030160.1	III
NC_030161.1	III
NC_030205.1	VII
NC_030396.1	IV
NC_030445.1	VII
NC_030446.1	VII
NC_030455.1	II
NC_030460.1	II
NC_030462.1	VII
NC_030468.1	II
NC_030478.1	II
NC_030658.1	V
NC_030793.1	IV
NC_030874.1	I
NC_030882.1	III
NC_030883.1	III
NC_030888.1	III
NC_030901.1	I
NC_031142.1	V
NC_031223.1	V
NC_031225.1	V
NC_031261.1	I
NC_031267.1	I
NC_031276.1	V
NC_031326.1	VI
NC_031765.1	II
NC_032006.1	II
NC_032097.1	II
NC_032150.2	III
NC_032490.1	IV
NC_033278.1	III
NC_033494.1	III
NC_033554.1	II
NC_033738.1	VII
NC_033739.1	VII
NC_033791.1	III
NC_034163.1	III
NC_034171.1	III
NC_034246.1	IV
NC_034252.1	VII
NC_034268.1	III
NC_034271.1	III
NC_034394.1	V
NC_034407.1	V
NC_034440.1	IV
NC_034461.1	V
NC_034483.1	V
NC_034518.1	V
NC_034529.1	V
NC_034530.1	V
NC_034556.1	V
NC_034567.1	IV
NC_034633.1	V
NC_034970.1	IV
NC_034972.1	IV
NC_035194.1	II
NC_035196.1	II
NC_035210.1	VII
NC_035220.1	IV
NC_035456.1	IV
NC_035472.1	VII
NC_035674.1	III
NC_035676.1	II
NC_036390.1	V
NC_036585.1	IV
