accession,set_label,baltimore,bits_evo,bits_markov,kmer_evo,kmer_markov,gc_true,gc_evo
NC_040742.1,euk_heldout,?,1.8105356693267822,1.9512499959273437,0.8273225984770257,0.7402848614952654,33.203125,28.3203125
NC_001946.1,euk_heldout,IV,1.841052770614624,1.958702281358352,0.7263543669609105,0.7617022847239842,42.08984375,41.50390625
NC_077219.1,euk_heldout,V,1.9173492193222046,1.9822273834698378,0.38787581132089455,0.7939192953531605,42.87109375,30.859375
NC_001503.1,euk_heldout,VI,1.0378696918487549,1.9713529355620876,0.8100006598156101,0.7497043815607676,42.48046875,34.375
NC_076930.1,euk_heldout,V,1.7952648401260376,1.940691328897555,0.8592732719091496,0.721273867741465,35.83984375,32.8125
NC_024303.1,euk_heldout,I,1.8297123908996582,1.9772331113260229,0.7826109240868215,0.7119521383265152,39.6484375,45.3125
NC_001475.2,euk_heldout,IV,1.8389322757720947,1.968512030240989,0.8748161132883193,0.7550993416510757,47.36328125,43.45703125
NC_033701.1,euk_heldout,V,1.8013529777526855,1.9358901047226142,0.8417465032849898,0.715213382628817,34.86328125,24.8046875
NC_038419.1,euk_heldout,IV,1.882621169090271,1.9985008580788446,0.7287652464661468,0.7875827679575018,44.62890625,32.51953125
NC_009021.1,euk_heldout,IV,1.818375825881958,1.9947338638791126,0.8577904145585091,0.7096850131826377,41.50390625,39.35546875
NC_076714.1,euk_heldout,V,1.876962423324585,1.9691182276965846,0.796842161445867,0.7669577913399401,48.92578125,51.953125
NC_038324.1,euk_heldout,IV,1.8220503330230713,1.955461784172131,0.8524582556660589,0.7465158240980851,37.01171875,33.69140625
NC_076031.1,euk_heldout,I,1.751219391822815,1.946436597387714,0.6851208135391269,0.7361471727119231,34.08203125,25.78125
NC_077039.1,euk_heldout,I,1.5906424522399902,1.9946930321539718,0.7836907243772645,0.5412452751094765,64.35546875,72.94921875
NC_038375.1,euk_heldout,I,1.8424755334854126,1.9768935368590566,0.8249875589869765,0.7035829810558641,38.28125,41.6015625
NC_030378.1,euk_heldout,?,1.8324368000030518,1.9482151927469389,0.8059937162423874,0.7999630949180029,35.9375,24.0234375
NC_016895.2,euk_heldout,I,1.7558717727661133,2.0012866701574095,0.6499271751477431,0.6492402852640548,59.375,61.5234375
NC_028137.1,euk_heldout,IV,1.8544831275939941,1.9882183730546943,0.7113698783021177,0.8151381130403414,45.60546875,40.13671875
NC_032112.1,euk_heldout,IV,1.8707211017608643,1.9792848904738467,0.6419559751238135,0.7812566114533379,43.84765625,33.7890625
NC_014742.1,euk_heldout,IV,1.8742283582687378,1.9695516548102974,0.8060387187461117,0.8453165920386654,41.89453125,39.55078125
NC_029304.2,euk_heldout,I,1.800122618675232,1.960134612290888,0.5951129112253642,0.736919503955681,38.76953125,31.25
NC_076726.1,euk_heldout,IV,1.927863359451294,1.9882037862062065,0.7613636106626264,0.7566866783193889,46.77734375,45.1171875
NC_037660.1,euk_heldout,IV,1.8582534790039062,1.9930993027537074,0.7944154403809532,0.7696644561498603,48.14453125,42.67578125
NC_028110.1,euk_heldout,I,0.671136200428009,1.9989865938525448,0.7425284305445685,0.6131388072175205,43.5546875,47.75390625
NC_003138.2,euk_heldout,VII,1.4374511241912842,1.938241885614922,0.7292450610296097,0.6258830356321619,36.42578125,26.171875
NC_055298.1,euk_heldout,?,1.8242692947387695,1.9611850960941188,0.8516494769158176,0.7319033580912746,35.9375,29.1015625
NC_019495.1,euk_heldout,I,1.5570862293243408,1.9751550673082061,0.6275138201168743,0.5914968820350948,54.58984375,58.0078125
NC_076488.1,euk_heldout,V,1.928288459777832,2.002021042549335,0.786711621990588,0.7824808837622668,49.90234375,54.296875
NC_055493.1,euk_heldout,IV,1.8680051565170288,1.9629833356562194,0.7089634434742391,0.7680522534944157,39.74609375,28.7109375
NC_025967.1,euk_heldout,IV,1.9025187492370605,1.9817602631626492,0.521475691864451,0.7281133931076347,42.67578125,45.1171875
NC_033027.1,euk_heldout,V,1.8306403160095215,1.9432590509380372,0.8895524980480235,0.7263429148432292,34.1796875,28.80859375
NC_038861.1,euk_heldout,IV,1.735592007637024,1.9524224614620709,0.42403820212478205,0.7800922583552561,36.71875,33.984375
NC_004123.1,euk_heldout,IV,1.8457927703857422,1.963304755020789,0.7419539098797365,0.7291812068265962,38.4765625,31.4453125
NC_040627.1,euk_heldout,IV,1.8469948768615723,1.9617962555700195,0.779988233554199,0.8016914337044972,43.1640625,39.16015625
NC_076218.1,euk_heldout,IV,1.777871012687683,1.9433792872005682,0.7706648571223599,0.6927604076532339,38.671875,36.9140625
NC_076016.1,euk_heldout,V,1.821345329284668,1.9627028324295823,0.8315544144046872,0.7098428265386316,38.76953125,33.69140625
NC_023628.1,euk_heldout,IV,1.8208041191101074,1.978761752949454,0.6788032334031646,0.7854585120812312,43.45703125,34.765625
NC_025396.1,euk_heldout,V,1.7786242961883545,1.9389167759980102,0.8798294922050796,0.6992155980519454,35.7421875,31.25
NC_015960.1,euk_heldout,I,1.7768144607543945,1.9636825020268072,0.7953314134456179,0.6470223678755311,30.95703125,16.50390625
NC_055510.1,euk_heldout,V,1.8633639812469482,1.9538576806648285,0.49375871071249744,0.7643561972493771,35.83984375,25.09765625
