accession,set_label,baltimore,host,bits_nt
NC_040742.1,euk_heldout,?,eukaryote,1.8064396381378174
NC_001946.1,euk_heldout,IV,eukaryote,1.8593900203704834
NC_077219.1,euk_heldout,V,eukaryote,1.8895974159240723
NC_001503.1,euk_heldout,VI,eukaryote,1.153084397315979
NC_076930.1,euk_heldout,V,eukaryote,1.8076246976852417
NC_024303.1,euk_heldout,I,eukaryote,1.5491394996643066
NC_001475.2,euk_heldout,IV,eukaryote,1.8670811653137207
NC_033701.1,euk_heldout,V,eukaryote,1.8729544878005981
NC_038419.1,euk_heldout,IV,eukaryote,1.8929919004440308
NC_009021.1,euk_heldout,IV,eukaryote,1.823060154914856
NC_076714.1,euk_heldout,V,eukaryote,1.8838034868240356
NC_038324.1,euk_heldout,IV,eukaryote,1.8591279983520508
NC_076031.1,euk_heldout,I,eukaryote,1.7304998636245728
NC_077039.1,euk_heldout,I,eukaryote,1.6780669689178467
NC_038375.1,euk_heldout,I,eukaryote,1.836294174194336
NC_030378.1,euk_heldout,?,eukaryote,1.8175338506698608
NC_016895.2,euk_heldout,I,eukaryote,1.8004831075668335
NC_028137.1,euk_heldout,IV,eukaryote,1.883927345275879
NC_032112.1,euk_heldout,IV,eukaryote,1.8306269645690918
NC_014742.1,euk_heldout,IV,eukaryote,1.8725694417953491
NC_029304.2,euk_heldout,I,eukaryote,1.7453254461288452
NC_076726.1,euk_heldout,IV,eukaryote,1.9229587316513062
NC_037660.1,euk_heldout,IV,eukaryote,1.8931248188018799
NC_028110.1,euk_heldout,I,eukaryote,1.4291173219680786
NC_003138.2,euk_heldout,VII,eukaryote,1.5128709077835083
NC_055298.1,euk_heldout,?,eukaryote,1.8225376605987549
NC_019495.1,euk_heldout,I,eukaryote,1.590205430984497
NC_076488.1,euk_heldout,V,eukaryote,1.9085676670074463
NC_055493.1,euk_heldout,IV,eukaryote,1.8331605195999146
NC_025967.1,euk_heldout,IV,eukaryote,1.887419581413269
NC_033027.1,euk_heldout,V,eukaryote,1.8310720920562744
NC_038861.1,euk_heldout,IV,eukaryote,1.7847665548324585
NC_004123.1,euk_heldout,IV,eukaryote,1.8441170454025269
NC_040627.1,euk_heldout,IV,eukaryote,1.8455818891525269
NC_076218.1,euk_heldout,IV,eukaryote,1.8472259044647217
NC_076016.1,euk_heldout,V,eukaryote,1.8735175132751465
NC_023628.1,euk_heldout,IV,eukaryote,1.8799598217010498
NC_025396.1,euk_heldout,V,eukaryote,1.829193353652954
NC_015960.1,euk_heldout,I,eukaryote,1.7200573682785034
NC_055510.1,euk_heldout,V,eukaryote,1.8545050621032715
NC_012909.1,euk_heldout,IV,eukaryote,1.871157169342041
NC_032427.1,euk_heldout,V,eukaryote,1.908385992050171
NC_055413.1,euk_heldout,?,eukaryote,1.817848563194275
NC_010646.1,euk_heldout,IV,eukaryote,1.8184428215026855
NC_055175.1,euk_heldout,V,eukaryote,1.8835500478744507
NC_038437.1,euk_heldout,IV,eukaryote,1.8888431787490845
NC_000899.1,euk_heldout,I,eukaryote,1.8190667629241943
NC_076976.1,euk_heldout,V,eukaryote,1.8981770277023315
